City,State,Lat,Lng,ID
Rodolfo Sanchez Taboada,Baja California,31.7958,-116.5911,1484409365
Champoton,Campeche,19.35,-90.7167,1484959684
Juanacatlan,Jalisco,20.5,-103.1667,1484068541
Capulhuac,México,19.2,-99.4667,1484829703
Jonuta,Tabasco,18.0833,-92.1333,1484712409
Escuinapa,Sinaloa,22.835,-105.778,1484295544
Tepetlaoxtoc,México,19.5731,-98.8203,1484140193
Magdalena de Kino,Sonora,30.6167,-111.05,1484799240
Temascaltepec de Gonzalez,México,19.0433,-100.0414,1484114407
Huatabampo,Sonora,27.05,-109.4167,1484335657
San Salvador El Seco,Puebla,19.1333,-97.65,1484262709
Ometepec,Guerrero,16.6833,-98.4167,1484936909
Nanchital de Lazaro Cardenas del Rio,Veracruz,18.0667,-94.4167,1484990539
Villa Donato Guerra,México,19.3083,-100.1422,1484701900
Xalatlaco,México,19.1811,-99.4164,1484277337
Escarcega,Campeche,18.6067,-90.7344,1484800970
Juchitepec,México,19.0997,-98.8792,1484007934
San Rafael,Veracruz,20.1889,-96.8658,1484480100
Actopan,Hidalgo,20.2681,-98.9442,1484903562
Zapotiltic,Jalisco,19.627,-103.417,1484535008
San Fernando,Tamaulipas,24.8504,-98.16,1484830415
Ozumba,México,19.0392,-98.7936,1484458348
Teapa,Tabasco,17.5483,-92.953,1484729901
Reforma,Chiapas,17.8658,-93.1472,1484640217
Ursulo Galvan,Veracruz,19.4,-96.3,1484748710
Abasolo,Guanajuato,20.45,-101.517,1484064616
Las Rosas,Chiapas,16.3667,-92.35,1484866090
Navolato,Sinaloa,24.7656,-107.7019,1484515879
San Salvador,Hidalgo,20.2833,-99.0153,1484680072
Ciudad Sahagun,Hidalgo,19.7714,-98.5803,1484112463
Cuitzeo del Porvenir,Michoacán,19.9686,-101.1394,1484718007
Zacoalco de Torres,Jalisco,20.2333,-103.5833,1484373793
Metepec,México,19.2511,-99.6047,1484782768
Tetela de Ocampo,Puebla,19.8167,-97.8,1484794888
Xochistlahuaca,Guerrero,16.7914,-98.2419,1484003499
San Felipe Jalapa de Diaz,Oaxaca,18.0667,-96.5333,1484014091
Nochistlan de Mejia,Zacatecas,21.3642,-102.8464,1484761642
Quiroga,Michoacán,19.6667,-101.5333,1484553970
Villa Luvianos,México,18.92,-100.2983,1484500757
Motozintla,Chiapas,15.3632,-92.2477,1484046011
Tlalpujahua de Rayon,Michoacán,19.805,-100.1744,1484026388
Soledad de Doblado,Veracruz,19.05,-96.4167,1484007805
Atlautla,México,19.0,-98.7167,1484312852
San Juan Guichicovi,Oaxaca,16.9667,-95.0833,1484056048
Contla,Tlaxcala,19.3333,-98.1667,1484059318
